word,frequency
moment,9
monster,9
survive,9
reveal,9
target,9
escape,9
reason,9
clean,9
still,9
cross,9
exist,9
alone,9
doubt,9
stand,9
hide,9
path,9
soft,9
rare,9
beat,9
pure,9
hold,9
tear,9
aim,9
movement,9
character,9
nightmare,9
standard,9
rainbow,9
guilty,9
wallet,9
challenge,9
recommend,9
highlight,9
purchase,9
interest,9
nonsense,9
industry,9
respond,9
remove,9
rarely,9
device,9
review,9
barely,9
advice,9
hardly,9
close,9
block,9
brain,9
environment,9
community,9
apartment,9
security,9
mention,9
session,9
version,9
emotion,9
comment,9
mission,9
ability,9
balance,9
option,9
action,9
essential,9
excellent,9
president,9
establish,9
recognize,9
encourage,9
immediate,9
dangerous,9
available,9
potential,9
emotional,9
delicious,9
emergency,9
approach,9
criminal,9
somewhat,9
shoulder,9
negative,9
previous,9
original,9
response,9
multiple,9
feedback,9
consider,9
property,9
behavior,9
positive,9
opposite,9
discount,9
military,9
complete,9
describe,9
personal,9
pleasure,9
specific,9
transfer,9
physical,9
accident,9
starve,8
lightning,8
swallow,8
remind,8
chill,8
illusion,8
vision,8
glance,8
adventure,8
universe,8
infinite,8
reflect,8
release,8
eternal,8
whisper,8
crystal,8
glimpse,8
stretch,8
capture,8
explore,8
worship,8
gentle,8
hunger,8
rhythm,8
stream,8
breeze,8
glare,8
float,8
choke,8
drift,8
grief,8
pearl,8
faith,8
grasp,8
flame,8
chase,8
guilt,8
moral,8
rough,8
pulse,8
grace,8
shade,8
sacred,8
grip,8
tide,8
stir,8
bend,8
lane,8
trap,8
heal,8
gaze,8
bare,8
glow,8
mask,8
melt,8
bake,8
dawn,8
gasp,8
fade,8
passage,8
bow,8
sin,8
fog,8
gem,8
household,8
reminder,8
breakthrough,8
existence,8
doubtful,8
faithful,8
blessing,8
insight,8
charity,8
chilly,8
halloween,8
breakdown,8
celebrate,8
spiritual,8
pathetic,8
musician,8
momentum,8
restrict,8
logical,8
musical,8
mindset,8
jewelry,8
ethical,8
triple,8
ironic,8
shower,8
recall,8
ethics,8
worthy,8
chart,8
irony,8
scare,8
charm,8
scary,8
windy,8
scarf,8
sapphire,6
glimmer,6
emerald,6
wither,6
voyage,6
perish,6
pebble,6
simmer,6
roam,6
thaw,6
haze,6
stew,6
sob,6
hardwood,6
rainfall,6
standstill,6
foresight,6
brainwash,6
chilled,6
orchard,6
restful,6
homestead,6
metallic,6
hallmark,6
rhythmic,6
trickle,6
startle,6
brewery,6
lighten,6
lookout,6
cleanse,6
steward,6
sleeper,6
fleece,6
harden,6
sandal,6
tripod,6
touchy,6
starch,6
hardy,6
growl,6
hazel,6
fishy,6
homey,6
liven,6
spirituality,6
hallucinate,6
perishable,6
handstand,6
surrogate,6
limelight,6
whirlwind,6
jellyfish,6
enlighten,6
skyrocket,6
proofread,6
fortnight,6
entourage,6
limestone,6
tombstone,6
whirlpool,6
lukewarm,6
pullover,6
drainage,6
gemstone,6
blooming,6
blockage,6
backfire,6
upstream,6
gripping,6
mourning,6
outgrow,6
bonfire,6
pitfall,6
padlock,6
winding,6
treason,6
distill,6
dwindle,6
pastime,6
catwalk,6
broaden,6
enclose,6
entrust,6
commend,6
arouse,6
homely,6
novice,6
afloat,6
sprain,6
sliver,6
crest,6
shard,6
flake,6
enlightenment,6
commonsense,6
treacherous,6
miscarriage,6
cauliflower,6
provisional,6
brook,4
rouse,4
snare,4
char,4
forestall,4
stonewall,4
doubtless,4
healthful,4
mournful,4
halleluja,4
freehand,4
crossbow,4
hideaway,4
fallible,4
stirrup,4
fishery,4
trapeze,4
gazette,4
hearten,4
windbag,4
wallow,4
wallop,4
pathos,4
hearth,4
gripe,4
singe,4
dusky,4
crestfallen,4
popularise,4
unsightly,4
filament,4
restorative,4
housebound,4
tourniquet,4
moralistic,4
snowdrift,4
saccharin,4
perishing,4
mesmerise,4
foreclose,4
interlock,4
relegate,4
irrigate,4
grasping,4
beholden,4
foothill,4
elongate,4
sideshow,4
environs,4
hallowed,4
beholder,4
repulse,4
jaywalk,4
wrought,4
ragtime,4
grieved,4
swindle,4
enliven,4
upstart,4
cabaret,4
ensnare,4
beastly,4
retouch,4
trestle,4
untruth,4
steely,4
entrap,4
inroad,4
impure,4
galley,4
alight,4
ablaze,4
adrift,4
fated,4
spool,4
commendation,4
coexistence,4
farsighted,4
misadventure,4
undergrowth,4
forethought,4
moisturise,4
dishearten,4
rhinestone,4
fibreglass,4
drawbridge,4
grandstand,4
floodlight,4
adherence,4
diffusion,4
aggrieved,4
indignity,4
insolence,4
embattled,4
emulation,4
seclusion,4
sacrament,4
arresting,4
allotment,4
inversion,4
