word,frequency,output_file
ability,9,final_data_v3/ability/ability_20260225_175123.json
absolutely,9,final_data_v3/absolutely/absolutely_20260225_175123.json
access,9,final_data_v3/access/access_20260225_175123.json
accident,9,final_data_v3/accident/accident_20260225_175123.json
account,9,final_data_v3/account/account_20260225_175123.json
achieve,9,final_data_v3/achieve/achieve_20260225_175123.json
action,9,final_data_v3/action/action_20260225_175123.json
active,9,final_data_v3/active/active_20260225_175123.json
activity,9,final_data_v3/activity/activity_20260225_175123.json
actual,9,final_data_v3/actual/actual_20260225_175123.json
addition,9,final_data_v3/addition/addition_20260225_175123.json
additional,9,final_data_v3/additional/additional_20260225_175123.json
address,9,final_data_v3/address/address_20260225_175123.json
admit,9,final_data_v3/admit/admit_20260225_175123.json
advantage,9,final_data_v3/advantage/advantage_20260225_175123.json
advice,9,final_data_v3/advice/advice_20260225_175123.json
afford,9,final_data_v3/afford/afford_20260225_175123.json
age,9,final_data_v3/age/age_20260225_175123.json
aim,9,final_data_v3/aim/aim_20260225_175123.json
alarm,9,final_data_v3/alarm/alarm_20260225_175123.json
alcohol,9,final_data_v3/alcohol/alcohol_20260225_175123.json
alone,9,final_data_v3/alone/alone_20260225_175123.json
amount,9,final_data_v3/amount/amount_20260225_175123.json
anxiety,9,final_data_v3/anxiety/anxiety_20260225_175123.json
anxious,9,final_data_v3/anxious/anxious_20260225_175123.json
apartment,9,final_data_v3/apartment/apartment_20260225_175123.json
apologize,9,final_data_v3/apologize/apologize_20260225_175123.json
appear,9,final_data_v3/appear/appear_20260225_175123.json
appearance,9,final_data_v3/appearance/appearance_20260225_175123.json
application,9,final_data_v3/application/application_20260225_175123.json
apply,9,final_data_v3/apply/apply_20260225_175123.json
appreciate,9,final_data_v3/appreciate/appreciate_20260225_175123.json
approach,9,final_data_v3/approach/approach_20260225_175123.json
appropriate,9,final_data_v3/appropriate/appropriate_20260225_175123.json
approve,9,final_data_v3/approve/approve_20260225_175123.json
argue,9,final_data_v3/argue/argue_20260225_175123.json
arrange,9,final_data_v3/arrange/arrange_20260225_175123.json
article,9,final_data_v3/article/article_20260225_175123.json
assume,9,final_data_v3/assume/assume_20260225_175123.json
attack,9,final_data_v3/attack/attack_20260225_175123.json
attempt,9,final_data_v3/attempt/attempt_20260225_175123.json
available,9,final_data_v3/available/available_20260225_175123.json
average,9,final_data_v3/average/average_20260225_175123.json
