word,frequency,output_file
ability,7,final_data_v3/ability/ability_20260225_175123.json
absolutely,7,final_data_v3/absolutely/absolutely_20260225_175123.json
access,7,final_data_v3/access/access_20260225_175123.json
accident,7,final_data_v3/accident/accident_20260225_175123.json
account,7,final_data_v3/account/account_20260225_175123.json
achieve,7,final_data_v3/achieve/achieve_20260225_175123.json
action,7,final_data_v3/action/action_20260225_175123.json
active,7,final_data_v3/active/active_20260225_175123.json
activity,7,final_data_v3/activity/activity_20260225_175123.json
actual,7,final_data_v3/actual/actual_20260225_175123.json
addition,7,final_data_v3/addition/addition_20260225_175123.json
additional,7,final_data_v3/additional/additional_20260225_175123.json
address,7,final_data_v3/address/address_20260225_175123.json
admit,7,final_data_v3/admit/admit_20260225_175123.json
advantage,7,final_data_v3/advantage/advantage_20260225_175123.json
advice,7,final_data_v3/advice/advice_20260225_175123.json
afford,7,final_data_v3/afford/afford_20260225_175123.json
age,7,final_data_v3/age/age_20260225_175123.json
aim,7,final_data_v3/aim/aim_20260225_175123.json
alarm,7,final_data_v3/alarm/alarm_20260225_175123.json
alcohol,7,final_data_v3/alcohol/alcohol_20260225_175123.json
alone,7,final_data_v3/alone/alone_20260225_175123.json
amount,7,final_data_v3/amount/amount_20260225_175123.json
anxiety,7,final_data_v3/anxiety/anxiety_20260225_175123.json
anxious,7,final_data_v3/anxious/anxious_20260225_175123.json
apartment,7,final_data_v3/apartment/apartment_20260225_175123.json
apologize,7,final_data_v3/apologize/apologize_20260225_175123.json
appear,7,final_data_v3/appear/appear_20260225_175123.json
appearance,7,final_data_v3/appearance/appearance_20260225_175123.json
application,7,final_data_v3/application/application_20260225_175123.json
apply,7,final_data_v3/apply/apply_20260225_175123.json
appreciate,7,final_data_v3/appreciate/appreciate_20260225_175123.json
approach,7,final_data_v3/approach/approach_20260225_175123.json
appropriate,7,final_data_v3/appropriate/appropriate_20260225_175123.json
approve,7,final_data_v3/approve/approve_20260225_175123.json
argue,7,final_data_v3/argue/argue_20260225_175123.json
arrange,7,final_data_v3/arrange/arrange_20260225_175123.json
article,7,final_data_v3/article/article_20260225_175123.json
assume,7,final_data_v3/assume/assume_20260225_175123.json
attack,7,final_data_v3/attack/attack_20260225_175123.json
attempt,7,final_data_v3/attempt/attempt_20260225_175123.json
available,7,final_data_v3/available/available_20260225_175123.json
average,7,final_data_v3/average/average_20260225_175123.json
avoid,7,final_data_v3/avoid/avoid_20260225_175123.json
aware,7,final_data_v3/aware/aware_20260225_175123.json
awesome,7,final_data_v3/awesome/awesome_20260225_175123.json
background,7,final_data_v3/background/background_20260225_175123.json
balance,7,final_data_v3/balance/balance_20260225_175123.json
band,7,final_data_v3/band/band_20260225_175123.json
bar,7,final_data_v3/bar/bar_20260225_175123.json
barely,7,final_data_v3/barely/barely_20260225_175123.json
base,7,final_data_v3/base/base_20260225_175123.json
basis,7,final_data_v3/basis/basis_20260225_175123.json
bear,7,final_data_v3/bear/bear_20260225_175123.json
beat,7,final_data_v3/beat/beat_20260225_175123.json
behave,7,final_data_v3/behave/behave_20260225_175123.json
behavior,7,final_data_v3/behavior/behavior_20260225_175123.json
belt,7,final_data_v3/belt/belt_20260225_175123.json
benefit,7,final_data_v3/benefit/benefit_20260225_175123.json
besides,7,
beyond,7,
bill,7,final_data_v3/bill/bill_20260225_175123.json
bit,7,final_data_v3/bit/bit_20260225_175123.json
block,7,final_data_v3/block/block_20260225_175123.json
blue,7,final_data_v3/blue/blue_20260225_175123.json
board,7,final_data_v3/board/board_20260225_175123.json
boring,7,final_data_v3/boring/boring_20260225_175123.json
brain,7,final_data_v3/brain/brain_20260225_175123.json
brief,7,final_data_v3/brief/brief_20260225_175123.json
broke,7,final_data_v3/broke/broke_20260225_175123.json
brush,7,final_data_v3/brush/brush_20260225_175123.json
budget,7,final_data_v3/budget/budget_20260225_175123.json
bug,7,final_data_v3/bug/bug_20260225_175123.json
butter,7,final_data_v3/butter/butter_20260225_175123.json
calendar,7,final_data_v3/calendar/calendar_20260225_175123.json
cancel,7,final_data_v3/cancel/cancel_20260225_175123.json
cancer,7,final_data_v3/cancer/cancer_20260225_175123.json
career,7,final_data_v3/career/career_20260225_175123.json
cause,7,final_data_v3/cause/cause_20260225_175123.json
cell,7,final_data_v3/cell/cell_20260225_175123.json
challenge,7,final_data_v3/challenge/challenge_20260225_175123.json
character,7,final_data_v3/character/character_20260225_175123.json
charge,7,final_data_v3/charge/charge_20260225_175123.json
chat,7,final_data_v3/chat/chat_20260225_175123.json
check,7,final_data_v3/check/check_20260225_175123.json
chip,7,final_data_v3/chip/chip_20260225_175123.json
choice,7,final_data_v3/choice/choice_20260225_175123.json
choose,7,final_data_v3/choose/choose_20260225_175123.json
claim,7,final_data_v3/claim/claim_20260225_175123.json
classic,7,final_data_v3/classic/classic_20260225_175123.json
clean,7,final_data_v3/clean/clean_20260225_175123.json
client,7,final_data_v3/client/client_20260225_175123.json
close,7,final_data_v3/close/close_20260225_175123.json
code,7,final_data_v3/code/code_20260225_175123.json
collect,7,final_data_v3/collect/collect_20260225_175123.json
collection,7,final_data_v3/collection/collection_20260225_175123.json
comment,7,final_data_v3/comment/comment_20260225_175123.json
communication,7,final_data_v3/communication/communication_20260225_175123.json
community,7,final_data_v3/community/community_20260225_175123.json
company,7,final_data_v3/company/company_20260225_175123.json
compare,7,
complain,7,final_data_v3/complain/complain_20260225_195644.json
complete,7,final_data_v3/complete/complete_20260225_195644.json
concern,7,final_data_v3/concern/concern_20260225_195644.json
concerned,7,final_data_v3/concerned/concerned_20260225_195644.json
condition,7,final_data_v3/condition/condition_20260225_195644.json
consider,7,final_data_v3/consider/consider_20260225_195644.json
contact,7,final_data_v3/contact/contact_20260225_195644.json
content,7,final_data_v3/content/content_20260225_195644.json
control,7,final_data_v3/control/control_20260225_195644.json
conversation,7,final_data_v3/conversation/conversation_20260225_195644.json
copy,7,final_data_v3/copy/copy_20260225_195644.json
correct,7,final_data_v3/correct/correct_20260225_195644.json
cover,7,final_data_v3/cover/cover_20260225_195644.json
cow,7,final_data_v3/cow/cow_20260225_195644.json
crash,7,final_data_v3/crash/crash_20260225_195644.json
crazy,7,final_data_v3/crazy/crazy_20260225_195644.json
credit,7,final_data_v3/credit/credit_20260225_195644.json
crime,7,final_data_v3/crime/crime_20260225_195644.json
criminal,7,final_data_v3/criminal/criminal_20260225_195644.json
crisis,7,final_data_v3/crisis/crisis_20260225_195644.json
critical,7,final_data_v3/critical/critical_20260225_195644.json
cross,7,final_data_v3/cross/cross_20260225_195644.json
crowd,7,final_data_v3/crowd/crowd_20260225_195644.json
culture,7,final_data_v3/culture/culture_20260225_195644.json
current,7,final_data_v3/current/current_20260225_195644.json
cute,7,final_data_v3/cute/cute_20260225_195644.json
dangerous,7,final_data_v3/dangerous/dangerous_20260225_195644.json
dead,7,final_data_v3/dead/dead_20260225_195644.json
deal,7,final_data_v3/deal/deal_20260225_195644.json
decide,7,final_data_v3/decide/decide_20260225_195644.json
definitely,7,
delicious,7,final_data_v3/delicious/delicious_20260225_195644.json
deliver,7,final_data_v3/deliver/deliver_20260225_195644.json
demand,7,final_data_v3/demand/demand_20260225_195644.json
depend,7,final_data_v3/depend/depend_20260225_195644.json
describe,7,final_data_v3/describe/describe_20260225_195644.json
deserve,7,final_data_v3/deserve/deserve_20260225_195644.json
design,7,final_data_v3/design/design_20260225_195644.json
despite,7,
detail,7,final_data_v3/detail/detail_20260225_195644.json
develop,7,final_data_v3/develop/develop_20260225_195644.json
device,7,final_data_v3/device/device_20260225_195644.json
die,7,final_data_v3/die/die_20260225_195644.json
diet,7,final_data_v3/diet/diet_20260225_195644.json
direct,7,final_data_v3/direct/direct_20260225_195644.json
