frequency,word,reason,include
1,the,Article - ultra-basic,N
2,be,Basic verb be/have/do,N
3,and,Basic conjunction,N
4,of,Basic preposition,N
5,a,Article - ultra-basic,N
6,in,Basic preposition,N
7,to,Basic preposition,N
8,have,Basic verb be/have/do,N
10,it,Pronoun,N
11,i,Pronoun,N
12,that,Pronoun/conjunction - ultra-basic,N
13,for,Basic preposition,N
14,you,Pronoun,N
15,he,Pronoun,N
16,with,Basic preposition,N
17,on,Basic preposition,N
18,do,Basic verb be/have/do,N
19,say,Ultra-basic verb,N
20,this,Pronoun,N
21,they,Pronoun,N
22,at,Basic preposition,N
23,but,Basic conjunction,N
24,we,Pronoun,N
25,his,Pronoun,N
26,from,Basic preposition,N
28,not,Basic adverb,N
29,n't,Contraction suffix - not a word,N
30,by,Basic preposition,N
31,she,Pronoun,N
32,or,Basic conjunction,N
33,as,Basic conjunction,N
34,what,Pronoun,N
35,go,Ultra-basic verb,N
36,their,Pronoun,N
37,can,Modal verb,N
38,who,Pronoun,N
39,get,Ultra-basic verb,N
40,if,Basic conjunction,N
41,would,Modal verb,N
42,her,Pronoun,N
43,all,Basic determiner,N
44,my,Pronoun,N
45,make,Ultra-basic verb,N
46,about,Basic preposition,N
47,know,Ultra-basic verb,N
48,will,Modal verb,N
50,up,Basic preposition,N
51,one,Number,N
52,time,Ultra-basic noun,N
53,there,Basic adverb,N
54,year,Simple time noun - direct translation,N
55,so,Basic conjunction,N
56,think,Multiple meanings and phrasal verbs (think of/about/through),Y
57,when,Basic conjunction,N
58,which,Pronoun,N
59,them,Pronoun,N
60,some,Basic determiner,N
61,me,Pronoun,N
62,people,Ultra-basic noun,N
63,take,Ultra-basic verb,N
64,out,Basic preposition,N
65,into,Basic preposition,N
66,just,Basic adverb,N
67,see,Ultra-basic verb,N
68,him,Pronoun,N
69,your,Pronoun,N
70,come,Ultra-basic verb,N
71,could,Modal verb,N
72,now,Basic adverb,N
73,than,Basic conjunction,N
74,like,Multiple meanings: verb (enjoy) vs preposition (similar to),Y
75,other,Basic determiner,N
76,how,Basic question word,N
77,then,Basic adverb,N
78,its,Pronoun,N
79,our,Pronoun,N
80,two,Number,N
81,more,Basic adverb/determiner,N
82,these,Pronoun,N
83,want,Ultra-basic verb,N
84,way,Multiple meanings: method/path/manner,Y
85,look,Ultra-basic verb,N
86,first,Ordinal number,N
87,also,Basic adverb,N
88,new,Ultra-basic adjective,N
89,because,Basic conjunction,N
90,day,Ultra-basic noun,N
92,use,Nuanced: make use of/be used to/usage patterns,Y
93,no,Basic adverb,N
94,man,Ultra-basic noun,N
95,find,Phrasal verbs: find out/find oneself,Y
96,here,Basic adverb,N
97,thing,Ultra-basic noun,N
98,give,Ultra-basic verb,N
99,many,Basic determiner,N
100,well,Multiple meanings: adverb/noun/adjective,Y
101,only,Basic adverb,N
102,those,Pronoun,N
103,tell,Ultra-basic verb,N
105,very,Basic adverb,N
107,even,Multiple meanings: adjective vs adverb,Y
108,back,Multiple meanings: noun/verb/adverb,Y
109,any,Basic determiner,N
110,good,Ultra-basic adjective,N
111,woman,Ultra-basic noun,N
112,through,Basic preposition,N
113,us,Pronoun,N
114,life,Abstract noun - context helpful,Y
115,child,Ultra-basic noun,N
